;item_nr;prime;all;target;condition
130;131;Eismen;Eismen;Eismen;stem/non-suffix
131;132;Feldatz;Feldatz;Feldatz;stem/non-suffix
132;133;Filmarf;Filmarf;Filmarf;stem/non-suffix
133;134;Flugucht;Flugucht;Flugucht;stem/non-suffix
134;135;Flurpern;Flurpern;Flurpern;stem/non-suffix
135;136;Gesichtarf;Gesichtarf;Gesichtarf;stem/non-suffix
136;137;Gespenstpern;Gespenstpern;Gespenstpern;stem/non-suffix
137;138;Haltarf;Haltarf;Haltarf;stem/non-suffix
138;139;Holzat;Holzat;Holzat;stem/non-suffix
139;140;Huhnam;Huhnam;Huhnam;stem/non-suffix
140;141;Hundat;Hundat;Hundat;stem/non-suffix
141;142;Keksmen;Keksmen;Keksmen;stem/non-suffix
142;143;Kerlmen;Kerlmen;Kerlmen;stem/non-suffix
143;144;Kopfekt;Kopfekt;Kopfekt;stem/non-suffix
144;145;Lochucht;Lochucht;Lochucht;stem/non-suffix
145;146;Luftucht;Luftucht;Luftucht;stem/non-suffix
146;147;Mauspern;Mauspern;Mauspern;stem/non-suffix
147;148;Milcharf;Milcharf;Milcharf;stem/non-suffix
148;149;Mondatz;Mondatz;Mondatz;stem/non-suffix
149;150;Nachtatz;Nachtatz;Nachtatz;stem/non-suffix
150;151;Nestarf;Nestarf;Nestarf;stem/non-suffix
151;152;Parkarf;Parkarf;Parkarf;stem/non-suffix
152;153;Pferdam;Pferdam;Pferdam;stem/non-suffix
153;154;Punktam;Punktam;Punktam;stem/non-suffix
154;155;Radam;Radam;Radam;stem/non-suffix
155;156;Rechtmen;Rechtmen;Rechtmen;stem/non-suffix
156;157;Saftmen;Saftmen;Saftmen;stem/non-suffix
157;158;Sanducht;Sanducht;Sanducht;stem/non-suffix
158;159;Schatzarf;Schatzarf;Schatzarf;stem/non-suffix
159;160;Sinnau;Sinnau;Sinnau;stem/non-suffix
160;161;Spurnauf;Spurnauf;Spurnauf;stem/non-suffix
161;162;Steinam;Steinam;Steinam;stem/non-suffix
162;163;Stirnatz;Stirnatz;Stirnatz;stem/non-suffix
163;164;Tagucht;Tagucht;Tagucht;stem/non-suffix
164;165;Teppichatz;Teppichatz;Teppichatz;stem/non-suffix
165;166;Tischarf;Tischarf;Tischarf;stem/non-suffix
166;167;Topfekt;Topfekt;Topfekt;stem/non-suffix
167;168;Tunnelau;Tunnelau;Tunnelau;stem/non-suffix
168;169;Wandekt;Wandekt;Wandekt;stem/non-suffix
169;170;Weltekt;Weltekt;Weltekt;stem/non-suffix
170;171;Winducht;Winducht;Winducht;stem/non-suffix
171;172;Witzarf;Witzarf;Witzarf;stem/non-suffix
172;173;Wolfat;Wolfat;Wolfat;stem/non-suffix
173;174;Wortpern;Wortpern;Wortpern;stem/non-suffix
174;175;Zahnarf;Zahnarf;Zahnarf;stem/non-suffix
175;176;Zeitam;Zeitam;Zeitam;stem/non-suffix
176;177;Zeltat;Zeltat;Zeltat;stem/non-suffix
177;178;Zugat;Zugat;Zugat;stem/non-suffix
178;179;Armbar;Armbar;Armbar;stem/suffix
179;180;Baumkeit;Baumkeit;Baumkeit;stem/suffix
180;180;Beinbar;Beinbar;Beinbar;stem/suffix
181;181;Besenkeit;Besenkeit;Besenkeit;stem/suffix
182;182;Better;Better;Better;stem/suffix
183;183;Blitzkeit;Blitzkeit;Blitzkeit;stem/suffix
184;184;Bluthaft;Bluthaft;Bluthaft;stem/suffix
185;185;Briefkeit;Briefkeit;Briefkeit;stem/suffix
186;186;Brothaft;Brothaft;Brothaft;stem/suffix
187;187;Bruster;Bruster;Bruster;stem/suffix
188;188;Busung;Busung;Busung;stem/suffix
189;189;Dacher;Dacher;Dacher;stem/suffix
190;190;Eisbar;Eisbar;Eisbar;stem/suffix
191;191;Feldbar;Feldbar;Feldbar;stem/suffix
192;192;Filmhaft;Filmhaft;Filmhaft;stem/suffix
193;193;Flugkeit;Flugkeit;Flugkeit;stem/suffix
194;194;Flurbar;Flurbar;Flurbar;stem/suffix
195;195;Gesichtkeit;Gesichtkeit;Gesichtkeit;stem/suffix
196;196;Gespenstkeit;Gespenstkeit;Gespenstkeit;stem/suffix
197;197;Haltkeit;Haltkeit;Haltkeit;stem/suffix
198;198;Holzung;Holzung;Holzung;stem/suffix
199;199;Huhnbar;Huhnbar;Huhnbar;stem/suffix
200;200;Hundung;Hundung;Hundung;stem/suffix
201;201;Keksbar;Keksbar;Keksbar;stem/suffix
202;202;Kerlbar;Kerlbar;Kerlbar;stem/suffix
203;203;Kopfkeit;Kopfkeit;Kopfkeit;stem/suffix
204;204;Lochkeit;Lochkeit;Lochkeit;stem/suffix
205;205;Luftkeit;Luftkeit;Luftkeit;stem/suffix
206;206;Mauskeit;Mauskeit;Mauskeit;stem/suffix
207;207;Milchkeit;Milchkeit;Milchkeit;stem/suffix
208;208;Mondkeit;Mondkeit;Mondkeit;stem/suffix
209;209;Nachter;Nachter;Nachter;stem/suffix
210;210;Nestung;Nestung;Nestung;stem/suffix
211;211;Parkbar;Parkbar;Parkbar;stem/suffix
212;212;Pferdung;Pferdung;Pferdung;stem/suffix
213;213;Punktkeit;Punktkeit;Punktkeit;stem/suffix
214;214;Radkeit;Radkeit;Radkeit;stem/suffix
215;215;Rechtbar;Rechtbar;Rechtbar;stem/suffix
216;216;Saftung;Saftung;Saftung;stem/suffix
217;217;Sandung;Sandung;Sandung;stem/suffix
218;218;Schatzung;Schatzung;Schatzung;stem/suffix
219;219;Sinnung;Sinnung;Sinnung;stem/suffix
220;220;Spurkeit;Spurkeit;Spurkeit;stem/suffix
221;221;Steinung;Steinung;Steinung;stem/suffix
222;222;Stirnbar;Stirnbar;Stirnbar;stem/suffix
223;223;Tagbar;Tagbar;Tagbar;stem/suffix
224;224;Teppichbar;Teppichbar;Teppichbar;stem/suffix
225;225;Tischkeit;Tischkeit;Tischkeit;stem/suffix
226;226;Topfbar;Topfbar;Topfbar;stem/suffix
227;227;Tunnelung;Tunnelung;Tunnelung;stem/suffix
228;228;Wandbar;Wandbar;Wandbar;stem/suffix
229;229;Weltkeit;Weltkeit;Weltkeit;stem/suffix
230;230;Windbar;Windbar;Windbar;stem/suffix
231;231;Witzkeit;Witzkeit;Witzkeit;stem/suffix
232;232;Wolfhaft;Wolfhaft;Wolfhaft;stem/suffix
233;233;Worthaft;Worthaft;Worthaft;stem/suffix
234;234;Zahner;Zahner;Zahner;stem/suffix
235;235;Zeitbar;Zeitbar;Zeitbar;stem/suffix
236;236;Zeltkeit;Zeltkeit;Zeltkeit;stem/suffix
237;237;Zughaft;Zughaft;Zughaft;stem/suffix
