item_nr;prime;all;target;condition
86;Luptkeit;Luptkeit;Luptkeit;non-stem/suffix
87;Maunkeit;Maunkeit;Maunkeit;non-stem/suffix
88;Mulchkeit;Mulchkeit;Mulchkeit;non-stem/suffix
89;Moldkeit;Moldkeit;Moldkeit;non-stem/suffix
90;Nechter;Nechter;Nechter;non-stem/suffix
91;nonstung;nonstung;nonstung;non-stem/suffix
92;Parmbar;Parmbar;Parmbar;non-stem/suffix
93;Pfeldung;Pfeldung;Pfeldung;non-stem/suffix
94;Pulktkeit;Pulktkeit;Pulktkeit;non-stem/suffix
95;Ridkeit;Ridkeit;Ridkeit;non-stem/suffix
96;Rachtbar;Rachtbar;Rachtbar;non-stem/suffix
97;Saktung;Saktung;Saktung;non-stem/suffix
98;Sardung;Sardung;Sardung;non-stem/suffix
99;Schetzung;Schetzung;Schetzung;non-stem/suffix
100;Sintung;Sintung;Sintung;non-stem/suffix
101;Smurkeit;Smurkeit;Smurkeit;non-stem/suffix
102;Steunung;Steunung;Steunung;non-stem/suffix
103;Stirmbar;Stirmbar;Stirmbar;non-stem/suffix
104;Tafbar;Tafbar;Tafbar;non-stem/suffix
105;Teplichbar;Teplichbar;Teplichbar;non-stem/suffix
106;Teschkeit;Teschkeit;Teschkeit;non-stem/suffix
107;Tolfbar;Tolfbar;Tolfbar;non-stem/suffix
108;Tunfelung;Tunfelung;Tunfelung;non-stem/suffix
109;Wardbar;Wardbar;Wardbar;non-stem/suffix
110;Woltkeit;Woltkeit;Woltkeit;non-stem/suffix
111;Wisdbar;Wisdbar;Wisdbar;non-stem/suffix
112;Wetzkeit;Wetzkeit;Wetzkeit;non-stem/suffix
113;Wolphaft;Wolphaft;Wolphaft;non-stem/suffix
114;Wosthaft;Wosthaft;Wosthaft;non-stem/suffix
115;Zuhner;Zuhner;Zuhner;non-stem/suffix
116;Zeilbar;Zeilbar;Zeilbar;non-stem/suffix
117;Zelpkeit;Zelpkeit;Zelpkeit;non-stem/suffix
118;Armucht;Armucht;Armucht;stem/non-suffix
119;Baumarf;Baumarf;Baumarf;stem/non-suffix
120;Beinatz;Beinatz;Beinatz;stem/non-suffix
121;Besenau;Besenau;Besenau;stem/non-suffix
122;Bettarf;Bettarf;Bettarf;stem/non-suffix
123;Blitzpern;Blitzpern;Blitzpern;stem/non-suffix
124;Blutam;Blutam;Blutam;stem/non-suffix
125;Briefmen;Briefmen;Briefmen;stem/non-suffix
126;Brotarf;Brotarf;Brotarf;stem/non-suffix
127;Brustekt;Brustekt;Brustekt;stem/non-suffix
128;Busarf;Busarf;Busarf;stem/non-suffix
129;Dachpfen;Dachpfen;Dachpfen;stem/non-suffix
130;Eismen;Eismen;Eismen;stem/non-suffix
131;Feldatz;Feldatz;Feldatz;stem/non-suffix
132;Filmarf;Filmarf;Filmarf;stem/non-suffix
133;Flugucht;Flugucht;Flugucht;stem/non-suffix
134;Flurpern;Flurpern;Flurpern;stem/non-suffix
135;Gesichtarf;Gesichtarf;Gesichtarf;stem/non-suffix
136;Gespenstpern;Gespenstpern;Gespenstpern;stem/non-suffix
137;Haltarf;Haltarf;Haltarf;stem/non-suffix
138;Holzat;Holzat;Holzat;stem/non-suffix
139;Huhnam;Huhnam;Huhnam;stem/non-suffix
140;Hundat;Hundat;Hundat;stem/non-suffix
141;Keksmen;Keksmen;Keksmen;stem/non-suffix
142;Kerlmen;Kerlmen;Kerlmen;stem/non-suffix
143;Kopfekt;Kopfekt;Kopfekt;stem/non-suffix
144;Lochucht;Lochucht;Lochucht;stem/non-suffix
145;Luftucht;Luftucht;Luftucht;stem/non-suffix
146;Mauspern;Mauspern;Mauspern;stem/non-suffix
147;Milcharf;Milcharf;Milcharf;stem/non-suffix
148;Mondatz;Mondatz;Mondatz;stem/non-suffix
149;Nachtatz;Nachtatz;Nachtatz;stem/non-suffix
150;Nestarf;Nestarf;Nestarf;stem/non-suffix
151;Parkarf;Parkarf;Parkarf;stem/non-suffix
152;Pferdam;Pferdam;Pferdam;stem/non-suffix
153;Punktam;Punktam;Punktam;stem/non-suffix
154;Radam;Radam;Radam;stem/non-suffix
155;Rechtmen;Rechtmen;Rechtmen;stem/non-suffix
156;Saftmen;Saftmen;Saftmen;stem/non-suffix
157;Sanducht;Sanducht;Sanducht;stem/non-suffix
158;Schatzarf;Schatzarf;Schatzarf;stem/non-suffix
159;Sinnau;Sinnau;Sinnau;stem/non-suffix
160;Spurnauf;Spurnauf;Spurnauf;stem/non-suffix
161;Steinam;Steinam;Steinam;stem/non-suffix
162;Stirnatz;Stirnatz;Stirnatz;stem/non-suffix
163;Tagucht;Tagucht;Tagucht;stem/non-suffix
164;Teppichatz;Teppichatz;Teppichatz;stem/non-suffix
165;Tischarf;Tischarf;Tischarf;stem/non-suffix
166;Topfekt;Topfekt;Topfekt;stem/non-suffix
167;Tunnelau;Tunnelau;Tunnelau;stem/non-suffix
168;Wandekt;Wandekt;Wandekt;stem/non-suffix
169;Weltekt;Weltekt;Weltekt;stem/non-suffix
170;Winducht;Winducht;Winducht;stem/non-suffix
171;Witzarf;Witzarf;Witzarf;stem/non-suffix
172;Wolfat;Wolfat;Wolfat;stem/non-suffix
173;Wortpern;Wortpern;Wortpern;stem/non-suffix
174;Zahnarf;Zahnarf;Zahnarf;stem/non-suffix
175;Zeitam;Zeitam;Zeitam;stem/non-suffix
176;Zeltat;Zeltat;Zeltat;stem/non-suffix
177;Zugat;Zugat;Zugat;stem/non-suffix
178;Armbar;Armbar;Armbar;stem/suffix
179;Baumkeit;Baumkeit;Baumkeit;stem/suffix
180;Beinbar;Beinbar;Beinbar;stem/suffix
181;Besenkeit;Besenkeit;Besenkeit;stem/suffix
182;Better;Better;Better;stem/suffix
183;Blitzkeit;Blitzkeit;Blitzkeit;stem/suffix
184;Bluthaft;Bluthaft;Bluthaft;stem/suffix
185;Briefkeit;Briefkeit;Briefkeit;stem/suffix
186;Brothaft;Brothaft;Brothaft;stem/suffix
187;Bruster;Bruster;Bruster;stem/suffix
188;Busung;Busung;Busung;stem/suffix
189;Dacher;Dacher;Dacher;stem/suffix
190;Eisbar;Eisbar;Eisbar;stem/suffix
191;Feldbar;Feldbar;Feldbar;stem/suffix
192;Filmhaft;Filmhaft;Filmhaft;stem/suffix
193;Flugkeit;Flugkeit;Flugkeit;stem/suffix
194;Flurbar;Flurbar;Flurbar;stem/suffix
195;Gesichtkeit;Gesichtkeit;Gesichtkeit;stem/suffix
196;Gespenstkeit;Gespenstkeit;Gespenstkeit;stem/suffix
197;Haltkeit;Haltkeit;Haltkeit;stem/suffix
198;Holzung;Holzung;Holzung;stem/suffix
199;Huhnbar;Huhnbar;Huhnbar;stem/suffix
200;Hundung;Hundung;Hundung;stem/suffix
201;Keksbar;Keksbar;Keksbar;stem/suffix
202;Kerlbar;Kerlbar;Kerlbar;stem/suffix
203;Kopfkeit;Kopfkeit;Kopfkeit;stem/suffix
204;Lochkeit;Lochkeit;Lochkeit;stem/suffix
205;Luftkeit;Luftkeit;Luftkeit;stem/suffix
206;Mauskeit;Mauskeit;Mauskeit;stem/suffix
207;Milchkeit;Milchkeit;Milchkeit;stem/suffix
208;Mondkeit;Mondkeit;Mondkeit;stem/suffix
209;Nachter;Nachter;Nachter;stem/suffix
210;Nestung;Nestung;Nestung;stem/suffix
211;Parkbar;Parkbar;Parkbar;stem/suffix
212;Pferdung;Pferdung;Pferdung;stem/suffix
213;Punktkeit;Punktkeit;Punktkeit;stem/suffix
214;Radkeit;Radkeit;Radkeit;stem/suffix
215;Rechtbar;Rechtbar;Rechtbar;stem/suffix
216;Saftung;Saftung;Saftung;stem/suffix
217;Sandung;Sandung;Sandung;stem/suffix
218;Schatzung;Schatzung;Schatzung;stem/suffix
219;Sinnung;Sinnung;Sinnung;stem/suffix
220;Spurkeit;Spurkeit;Spurkeit;stem/suffix
221;Steinung;Steinung;Steinung;stem/suffix
222;Stirnbar;Stirnbar;Stirnbar;stem/suffix
223;Tagbar;Tagbar;Tagbar;stem/suffix
224;Teppichbar;Teppichbar;Teppichbar;stem/suffix
225;Tischkeit;Tischkeit;Tischkeit;stem/suffix
226;Topfbar;Topfbar;Topfbar;stem/suffix
227;Tunnelung;Tunnelung;Tunnelung;stem/suffix
228;Wandbar;Wandbar;Wandbar;stem/suffix
229;Weltkeit;Weltkeit;Weltkeit;stem/suffix
230;Windbar;Windbar;Windbar;stem/suffix
231;Witzkeit;Witzkeit;Witzkeit;stem/suffix
232;Wolfhaft;Wolfhaft;Wolfhaft;stem/suffix
233;Worthaft;Worthaft;Worthaft;stem/suffix
234;Zahner;Zahner;Zahner;stem/suffix
235;Zeitbar;Zeitbar;Zeitbar;stem/suffix
236;Zeltkeit;Zeltkeit;Zeltkeit;stem/suffix
237;Zughaft;Zughaft;Zughaft;stem/suffix
238;Ameise;Ameise;Ameise;REALWORD/simple
239;Asphalt;Asphalt;Asphalt;REALWORD/simple
240;Banane;Banane;Banane;REALWORD/simple
241;Basilisk;Basilisk;Basilisk;REALWORD/simple
242;Brauch;Brauch;Brauch;REALWORD/simple
243;Bürste;Bürste;Bürste;REALWORD/simple
244;Diamant;Diamant;Diamant;REALWORD/simple
245;Dusche;Dusche;Dusche;REALWORD/simple
246;Erfolg;Erfolg;Erfolg;REALWORD/simple
247;Flamme;Flamme;Flamme;REALWORD/simple
248;Giraffe;Giraffe;Giraffe;REALWORD/simple
249;Gitarre;Gitarre;Gitarre;REALWORD/simple
250;Herberge;Herberge;Herberge;REALWORD/simple
251;Kollege;Kollege;Kollege;REALWORD/simple
252;Kommode;Kommode;Kommode;REALWORD/simple
253;Kontakt;Kontakt;Kontakt;REALWORD/simple
254;Kontrolle;Kontrolle;Kontrolle;REALWORD/simple
255;Konzert;Konzert;Konzert;REALWORD/simple
256;Kralle;Kralle;Kralle;REALWORD/simple
257;Perücke;Perücke;Perücke;REALWORD/simple
258;Pfütze;Pfütze;Pfütze;REALWORD/simple
259;Platte;Platte;Platte;REALWORD/simple
260;Puzzle;Puzzle;Puzzle;REALWORD/simple
261;Pyramide;Pyramide;Pyramide;REALWORD/simple
262;Soldat;Soldat;Soldat;REALWORD/simple
263;Storch;Storch;Storch;REALWORD/simple
264;Talent;Talent;Talent;REALWORD/simple
265;Tomate;Tomate;Tomate;REALWORD/simple
266;Triumph;Triumph;Triumph;REALWORD/simple
267;Zigarre;Zigarre;Zigarre;REALWORD/simple
268;Bäcker;Bäcker;Bäcker;REALWORD/complex
269;Behandlung;Behandlung;Behandlung;REALWORD/complex
270;Bescheid;Bescheid;Bescheid;REALWORD/complex
271;Diener;Diener;Diener;REALWORD/complex
272;Dummheit;Dummheit;Dummheit;REALWORD/complex
273;Existenz;Existenz;Existenz;REALWORD/complex
274;Festung;Festung;Festung;REALWORD/complex
275;Fischer;Fischer;Fischer;REALWORD/complex
276;Forscher;Forscher;Forscher;REALWORD/complex
277;Freiheit;Freiheit;Freiheit;REALWORD/complex
278;Frisur;Frisur;Frisur;REALWORD/complex
279;Jüngling;Jüngling;Jüngling;REALWORD/complex
280;Krankheit;Krankheit;Krankheit;REALWORD/complex
281;Künstler;Künstler;Künstler;REALWORD/complex
282;Leistung;Leistung;Leistung;REALWORD/complex
283;Lichtung;Lichtung;Lichtung;REALWORD/complex
284;Lügner;Lügner;Lügner;REALWORD/complex
285;Manager;Manager;Manager;REALWORD/complex
286;Menschheit;Menschheit;Menschheit;REALWORD/complex
287;Musiker;Musiker;Musiker;REALWORD/complex
288;Schönheit;Schönheit;Schönheit;REALWORD/complex
289;Sicherheit;Sicherheit;Sicherheit;REALWORD/complex
290;Siedlung;Siedlung;Siedlung;REALWORD/complex
291;Sieger;Sieger;Sieger;REALWORD/complex
292;Spieler;Spieler;Spieler;REALWORD/complex
293;Stellung;Stellung;Stellung;REALWORD/complex
294;Sucher;Sucher;Sucher;REALWORD/complex
295;Trainer;Trainer;Trainer;REALWORD/complex
296;Training;Training;Training;REALWORD/complex
297;Weisheit;Weisheit;Weisheit;REALWORD/complex
